Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
144,53,6,2692,4,3,2,432,New Customers
145,143,10,8341,3,4,4,344,Champions
146,794,2,1181,1,1,1,111,Lost
147,147,7,4897,3,4,3,343,Champions
148,74,2,1038,4,1,1,411,New Customers
149,202,6,7273,2,3,4,234,Loyal Customers
150,22,1,588,4,1,1,411,New Customers
151,67,8,5607,4,4,4,444,Champions
152,270,4,2303,2,2,2,222,Customers Needing Attention
153,400,7,5243,1,4,4,144,At Risk
154,9,11,11692,4,4,4,444,Champions
155,29,6,3719,4,3,3,433,Champions
156,114,5,2156,3,2,1,321,Promising
157,44,8,8622,4,4,4,444,Champions
158,339,4,3011,2,2,2,222,Customers Needing Attention
159,83,3,4038,3,1,3,313,Potential Loyalists
160,903,2,612,1,1,1,111,Lost
161,68,5,2953,4,2,2,422,Potential Loyalists
162,977,4,2153,1,2,1,121,Cant Lose Them
163,644,4,2829,1,2,2,122,At Risk
164,993,4,2063,1,2,1,121,Cant Lose Them
165,170,6,5035,3,3,3,333,Champions
166,358,9,6385,2,4,4,244,Loyal Customers
167,469,4,3835,1,2,3,123,At Risk
169,177,8,7116,3,4,4,344,Champions
170,44,8,5067,4,4,3,443,Champions
171,430,1,2290,1,1,2,112,Hibernating
172,452,6,2141,1,3,1,131,Cant Lose Them
173,159,5,3461,3,2,2,322,Potential Loyalists
174,40,2,642,4,1,1,411,New Customers
175,225,4,4356,2,2,3,223,Customers Needing Attention
176,17,7,7277,4,4,4,444,Champions
177,92,4,3204,3,2,2,322,Potential Loyalists
178,150,9,7621,3,4,4,344,Champions
179,10,5,2913,4,2,2,422,Potential Loyalists
180,61,1,112,4,1,1,411,New Customers
181,238,3,1820,2,1,1,211,About to Sleep
182,34,7,3922,4,4,3,443,Champions
183,263,3,1604,2,1,1,211,About to Sleep
184,99,9,7027,3,4,4,344,Champions
185,169,9,6276,3,4,4,344,Champions
186,397,3,1341,1,1,1,111,Lost
187,544,1,1461,1,1,1,111,Lost
188,64,4,3435,4,2,2,422,Potential Loyalists
189,617,2,1167,1,1,1,111,Lost
190,1077,1,680,1,1,1,111,Lost
191,1144,2,187,1,1,1,111,Lost
192,44,8,4606,4,4,3,443,Champions
193,83,5,4529,3,2,3,323,Potential Loyalists
194,20,6,4446,4,3,3,433,Champions
195,169,6,4780,3,3,3,333,Champions
196,442,5,2184,1,2,1,121,Cant Lose Them
197,182,4,1945,3,2,1,321,Promising
198,138,7,8302,3,4,4,344,Champions
199,309,6,3200,2,3,2,232,Lost
200,98,8,9964,3,4,4,344,Champions
201,14,2,532,4,1,1,411,New Customers
202,171,6,4031,3,3,3,333,Champions
203,437,3,3021,1,1,2,112,Hibernating
204,77,12,7768,4,4,4,444,Champions
205,147,11,9735,3,4,4,344,Champions
206,34,6,5144,4,3,3,433,Champions
207,214,8,5875,2,4,4,244,Loyal Customers
208,325,8,5588,2,4,4,244,Loyal Customers
209,6,7,5038,4,4,3,443,Champions
210,20,7,4155,4,4,3,443,Champions
211,132,10,6079,3,4,4,344,Champions
212,115,6,4938,3,3,3,333,Champions
213,302,6,6082,2,3,4,234,Loyal Customers
214,206,3,3736,2,1,3,213,Customers Needing Attention
215,379,4,2784,1,2,2,122,At Risk
216,93,8,7854,3,4,4,344,Champions
217,119,5,3360,3,2,2,322,Potential Loyalists
218,489,8,7871,1,4,4,144,At Risk
219,18,6,2933,4,3,2,432,New Customers
220,208,4,5269,2,2,4,224,Lost
221,259,6,2053,2,3,1,231,Lost
222,140,4,4176,3,2,3,323,Potential Loyalists
223,28,4,4140,4,2,3,423,Potential Loyalists
224,75,6,5223,4,3,4,434,Champions
225,3,3,3540,4,1,2,412,Potential Loyalists
226,42,5,4307,4,2,3,423,Potential Loyalists
227,312,4,3567,2,2,2,222,Customers Needing Attention
228,129,4,3912,3,2,3,323,Potential Loyalists
229,330,6,6791,2,3,4,234,Loyal Customers
230,44,10,6747,4,4,4,444,Champions
231,278,6,1491,2,3,1,231,Lost
232,290,6,4911,2,3,3,233,Loyal Customers
233,384,5,4571,1,2,3,123,At Risk
234,65,4,1438,4,2,1,421,New Customers
235,377,4,3030,1,2,2,122,At Risk
236,88,10,5901,3,4,4,344,Champions
237,394,7,5929,1,4,4,144,At Risk
238,27,8,6777,4,4,4,444,Champions
239,240,7,4426,2,4,3,243,Loyal Customers
240,181,4,3413,3,2,2,322,Potential Loyalists
241,207,3,3030,2,1,2,212,Customers Needing Attention
242,161,3,1952,3,1,1,311,Promising
243,93,7,3844,3,4,3,343,Champions
244,304,7,3884,2,4,3,243,Loyal Customers
245,655,3,4414,1,1,3,113,Hibernating
246,115,3,2371,3,1,2,312,Potential Loyalists
247,627,5,2272,1,2,2,122,At Risk
248,214,6,6769,2,3,4,234,Loyal Customers
249,1206,1,46,1,1,1,111,Lost
250,97,7,7278,3,4,4,344,Champions
251,36,8,6656,4,4,4,444,Champions
252,651,5,4925,1,2,3,123,At Risk
253,47,8,5314,4,4,4,444,Champions
254,402,4,4580,1,2,3,123,At Risk
255,660,5,3421,1,2,2,122,At Risk
256,137,3,2619,3,1,2,312,Potential Loyalists
257,468,4,4220,1,2,3,123,At Risk
258,70,6,4070,4,3,3,433,Champions
259,190,4,1501,2,2,1,221,About to Sleep
260,87,6,6729,3,3,4,334,Champions
261,78,8,4800,4,4,3,443,Champions
262,140,8,2578,3,4,2,342,Lost
263,71,8,5443,4,4,4,444,Champions
264,190,10,6338,2,4,4,244,Loyal Customers
265,84,5,5882,3,2,4,324,Potential Loyalists
266,39,7,5236,4,4,4,444,Champions
267,26,5,3800,4,2,3,423,Potential Loyalists
268,406,3,5520,1,1,4,114,Hibernating
269,184,7,5529,3,4,4,344,Champions
270,5,6,2673,4,3,2,432,New Customers
271,56,5,4569,4,2,3,423,Potential Loyalists
272,541,3,1164,1,1,1,111,Lost
273,221,6,4747,2,3,3,233,Loyal Customers
274,473,6,4923,1,3,3,133,At Risk
275,28,3,4475,4,1,3,413,Potential Loyalists
276,284,5,4256,2,2,3,223,Customers Needing Attention
277,141,7,5886,3,4,4,344,Champions
278,6,10,3978,4,4,3,443,Champions
279,350,4,4316,2,2,3,223,Customers Needing Attention
280,373,5,5002,1,2,3,123,At Risk
281,208,2,1522,2,1,1,211,About to Sleep
282,108,8,8036,3,4,4,344,Champions
283,217,6,1927,2,3,1,231,Lost
284,258,3,1741,2,1,1,211,About to Sleep
285,324,9,7804,2,4,4,244,Loyal Customers
286,451,2,1035,1,1,1,111,Lost
287,888,1,2270,1,1,1,111,Lost
288,81,5,4146,3,2,3,323,Potential Loyalists
289,265,6,5794,2,3,4,234,Loyal Customers
290,351,4,4081,2,2,3,223,Customers Needing Attention
291,253,4,2542,2,2,2,222,Customers Needing Attention
292,318,4,4388,2,2,3,223,Customers Needing Attention
293,107,5,1023,3,2,1,321,Promising
294,187,3,2086,3,1,1,311,Promising
295,122,2,919,3,1,1,311,Promising
296,568,6,3712,1,3,3,133,At Risk
297,46,11,9973,4,4,4,444,Champions
298,77,5,4685,4,2,3,423,Potential Loyalists
299,513,5,3850,1,2,3,123,At Risk
300,130,6,6255,3,3,4,334,Champions
301,110,3,2529,3,1,2,312,Potential Loyalists
302,46,7,3012,4,4,2,442,New Customers
303,170,4,2202,3,2,1,321,Promising
304,142,7,3882,3,4,3,343,Champions
305,177,5,1611,3,2,1,321,Promising
306,436,4,2936,1,2,2,122,At Risk
307,865,1,162,1,1,1,111,Lost
308,14,3,1496,4,1,1,411,New Customers
309,336,3,1577,2,1,1,211,About to Sleep
310,19,3,2026,4,1,1,411,New Customers
311,399,7,4203,1,4,3,143,At Risk
312,543,3,1305,1,1,1,111,Lost
313,17,9,7423,4,4,4,444,Champions
314,75,4,1702,4,2,1,421,New Customers
315,127,11,10701,3,4,4,344,Champions
316,176,3,1004,3,1,1,311,Promising
317,335,3,3693,2,1,3,213,Customers Needing Attention
318,105,9,10517,3,4,4,344,Champions
319,170,5,4310,3,2,3,323,Potential Loyalists
320,96,5,2681,3,2,2,322,Potential Loyalists
321,671,4,1975,1,2,1,121,Cant Lose Them
322,300,5,6348,2,2,4,224,Lost
323,247,3,1239,2,1,1,211,About to Sleep
324,2,5,4893,4,2,3,423,Potential Loyalists
325,435,8,3468,1,4,2,142,At Risk
326,171,5,5064,3,2,3,323,Potential Loyalists
327,43,6,1103,4,3,1,431,New Customers
328,393,6,4262,1,3,3,133,At Risk
329,583,8,6668,1,4,4,144,At Risk
330,384,9,6613,1,4,4,144,At Risk
331,295,5,2519,2,2,2,222,Customers Needing Attention
332,22,6,2774,4,3,2,432,New Customers
333,143,4,3330,3,2,2,322,Potential Loyalists
334,82,5,6496,3,2,4,324,Potential Loyalists
335,135,6,7128,3,3,4,334,Champions
336,880,2,2313,1,1,2,112,Hibernating
337,128,4,4010,3,2,3,323,Potential Loyalists
338,76,4,5029,4,2,3,423,Potential Loyalists
339,152,5,3015,3,2,2,322,Potential Loyalists
340,29,10,7807,4,4,4,444,Champions
341,456,5,2236,1,2,1,121,Cant Lose Them
342,107,10,8579,3,4,4,344,Champions
343,527,5,3439,1,2,2,122,At Risk
344,504,7,5200,1,4,4,144,At Risk
345,2,7,6611,4,4,4,444,Champions
346,78,5,3956,4,2,3,423,Potential Loyalists
347,162,6,3608,3,3,3,333,Champions
348,186,9,7918,3,4,4,344,Champions
349,251,4,4422,2,2,3,223,Customers Needing Attention
350,378,5,1525,1,2,1,121,Cant Lose Them
351,238,8,6217,2,4,4,244,Loyal Customers
352,337,3,785,2,1,1,211,About to Sleep
353,74,7,6682,4,4,4,444,Champions
354,222,4,3322,2,2,2,222,Customers Needing Attention
355,285,3,1963,2,1,1,211,About to Sleep
356,472,4,3902,1,2,3,123,At Risk
357,265,6,5597,2,3,4,234,Loyal Customers
358,32,4,1330,4,2,1,421,New Customers
359,220,5,5185,2,2,4,224,Lost
360,29,5,4218,4,2,3,423,Potential Loyalists
361,32,3,5171,4,1,4,414,Potential Loyalists
362,1294,1,48,1,1,1,111,Lost
363,65,5,3742,4,2,3,423,Potential Loyalists
364,86,6,4676,3,3,3,333,Champions
365,536,3,1479,1,1,1,111,Lost
366,477,2,2361,1,1,2,112,Hibernating
367,96,3,2897,3,1,2,312,Potential Loyalists
368,513,2,2552,1,1,2,112,Hibernating
369,89,4,3559,3,2,2,322,Potential Loyalists
370,155,6,6487,3,3,4,334,Champions
371,438,5,2836,1,2,2,122,At Risk
372,235,5,3139,2,2,2,222,Customers Needing Attention
373,1120,2,895,1,1,1,111,Lost
374,6,7,8298,4,4,4,444,Champions
375,482,4,2266,1,2,1,121,Cant Lose Them
376,130,7,4939,3,4,3,343,Champions
377,37,6,2696,4,3,2,432,New Customers
378,742,3,1698,1,1,1,111,Lost
379,432,3,799,1,1,1,111,Lost
380,51,4,3302,4,2,2,422,Potential Loyalists
381,132,4,3193,3,2,2,322,Potential Loyalists
382,82,3,3075,3,1,2,312,Potential Loyalists
383,157,4,1854,3,2,1,321,Promising
384,89,6,6279,3,3,4,334,Champions
385,248,6,5419,2,3,4,234,Loyal Customers
386,75,5,3029,4,2,2,422,Potential Loyalists
387,143,3,2634,3,1,2,312,Potential Loyalists
388,105,4,2667,3,2,2,322,Potential Loyalists
389,22,5,3293,4,2,2,422,Potential Loyalists
390,170,3,2129,3,1,1,311,Promising
391,442,5,3852,1,2,3,123,At Risk
392,199,4,2681,2,2,2,222,Customers Needing Attention
393,295,5,3049,2,2,2,222,Customers Needing Attention
394,617,5,5823,1,2,4,124,At Risk
395,227,2,3031,2,1,2,212,Customers Needing Attention
396,837,5,2875,1,2,2,122,At Risk
397,296,6,2587,2,3,2,232,Lost
398,69,6,4821,4,3,3,433,Champions
399,421,4,3747,1,2,3,123,At Risk
400,25,8,3882,4,4,3,443,Champions
401,72,8,6881,4,4,4,444,Champions
402,39,9,5054,4,4,3,443,Champions
403,299,6,5162,2,3,4,234,Loyal Customers
404,93,7,4850,3,4,3,343,Champions
405,143,2,128,3,1,1,311,Promising
406,387,8,6256,1,4,4,144,At Risk
407,341,2,1030,2,1,1,211,About to Sleep
408,457,4,1512,1,2,1,121,Cant Lose Them
409,63,9,6780,4,4,4,444,Champions
410,791,1,48,1,1,1,111,Lost
411,224,8,2917,2,4,2,242,Lost
412,51,7,6276,4,4,4,444,Champions
413,50,3,1617,4,1,1,411,New Customers
414,37,2,2233,4,1,1,411,New Customers
415,897,2,895,1,1,1,111,Lost
416,325,3,2321,2,1,2,212,Customers Needing Attention
417,53,4,2298,4,2,2,422,Potential Loyalists
418,60,4,2734,4,2,2,422,Potential Loyalists
419,85,5,3670,3,2,3,323,Potential Loyalists
420,460,5,1126,1,2,1,121,Cant Lose Them
421,77,6,3615,4,3,3,433,Champions
422,549,5,3581,1,2,2,122,At Risk
423,671,3,920,1,1,1,111,Lost
424,620,5,3822,1,2,3,123,At Risk
425,63,5,3826,4,2,3,423,Potential Loyalists
426,181,4,3676,3,2,3,323,Potential Loyalists
427,138,5,2848,3,2,2,322,Potential Loyalists
428,340,7,4041,2,4,3,243,Loyal Customers
429,20,4,1296,4,2,1,421,New Customers
430,921,3,1499,1,1,1,111,Lost
431,2,5,1465,4,2,1,421,New Customers
432,146,8,6182,3,4,4,344,Champions
433,597,2,1892,1,1,1,111,Lost
434,31,7,5739,4,4,4,444,Champions
435,19,7,6023,4,4,4,444,Champions
436,103,3,1753,3,1,1,311,Promising
437,658,3,2902,1,1,2,112,Hibernating
438,77,4,2312,4,2,2,422,Potential Loyalists
439,317,3,1664,2,1,1,211,About to Sleep
440,406,5,2779,1,2,2,122,At Risk
441,218,5,4255,2,2,3,223,Customers Needing Attention
442,332,3,3823,2,1,3,213,Customers Needing Attention
443,411,5,1799,1,2,1,121,Cant Lose Them
444,101,6,4918,3,3,3,333,Champions
445,515,5,4364,1,2,3,123,At Risk
446,48,7,5770,4,4,4,444,Champions
447,537,2,3481,1,1,2,112,Hibernating
448,112,3,1619,3,1,1,311,Promising
449,95,5,3128,3,2,2,322,Potential Loyalists
450,407,8,6169,1,4,4,144,At Risk
451,91,6,4863,3,3,3,333,Champions
452,23,7,3679,4,4,3,443,Champions
453,392,4,1599,1,2,1,121,Cant Lose Them
454,426,5,2245,1,2,1,121,Cant Lose Them
455,117,4,3755,3,2,3,323,Potential Loyalists
456,231,2,1368,2,1,1,211,About to Sleep
457,133,5,4531,3,2,3,323,Potential Loyalists
458,75,3,2243,4,1,1,411,New Customers
459,413,4,2998,1,2,2,122,At Risk
460,16,8,5625,4,4,4,444,Champions
461,24,3,1664,4,1,1,411,New Customers
462,39,7,6755,4,4,4,444,Champions
463,378,4,4989,1,2,3,123,At Risk
464,123,4,2808,3,2,2,322,Potential Loyalists
465,960,3,1262,1,1,1,111,Lost
466,792,3,3536,1,1,2,112,Hibernating
467,8,5,1627,4,2,1,421,New Customers
468,253,5,3343,2,2,2,222,Customers Needing Attention
469,616,6,4627,1,3,3,133,At Risk
470,156,4,1475,3,2,1,321,Promising
471,88,7,6703,3,4,4,344,Champions
472,106,5,2797,3,2,2,322,Potential Loyalists
473,365,6,3259,2,3,2,232,Lost
474,284,6,6739,2,3,4,234,Loyal Customers
475,176,2,1270,3,1,1,311,Promising
476,52,2,1477,4,1,1,411,New Customers
477,192,2,694,2,1,1,211,About to Sleep
478,792,4,2401,1,2,2,122,At Risk
479,618,3,2961,1,1,2,112,Hibernating
480,2,3,619,4,1,1,411,New Customers
481,244,5,4272,2,2,3,223,Customers Needing Attention
482,169,6,3014,3,3,2,332,Lost
483,302,8,4369,2,4,3,243,Loyal Customers
484,274,7,6838,2,4,4,244,Loyal Customers
485,244,8,6896,2,4,4,244,Loyal Customers
486,29,10,7081,4,4,4,444,Champions
487,864,2,378,1,1,1,111,Lost
488,235,8,5642,2,4,4,244,Loyal Customers
489,372,8,6475,1,4,4,144,At Risk
490,674,4,2970,1,2,2,122,At Risk
491,432,4,5529,1,2,4,124,At Risk
492,61,8,5454,4,4,4,444,Champions
493,207,8,4838,2,4,3,243,Loyal Customers
494,476,2,1237,1,1,1,111,Lost
495,155,4,3074,3,2,2,322,Potential Loyalists
496,307,4,2617,2,2,2,222,Customers Needing Attention
497,119,9,6637,3,4,4,344,Champions
498,239,3,1606,2,1,1,211,About to Sleep
499,48,8,4406,4,4,3,443,Champions
500,54,5,5713,4,2,4,424,Potential Loyalists
501,512,3,1569,1,1,1,111,Lost
502,130,4,3891,3,2,3,323,Potential Loyalists
503,56,7,5805,4,4,4,444,Champions
504,419,5,2734,1,2,2,122,At Risk
505,44,10,5308,4,4,4,444,Champions
506,453,5,3939,1,2,3,123,At Risk
507,779,5,2632,1,2,2,122,At Risk
508,259,4,2951,2,2,2,222,Customers Needing Attention
509,622,3,1774,1,1,1,111,Lost
510,428,7,5316,1,4,4,144,At Risk
511,190,5,2638,2,2,2,222,Customers Needing Attention
512,615,1,1484,1,1,1,111,Lost
513,4,5,3778,4,2,3,423,Potential Loyalists
514,200,3,1527,2,1,1,211,About to Sleep
515,310,3,908,2,1,1,211,About to Sleep
516,40,6,7310,4,3,4,434,Champions
517,146,4,4136,3,2,3,323,Potential Loyalists
518,466,7,5979,1,4,4,144,At Risk
519,339,4,2713,2,2,2,222,Customers Needing Attention
520,302,4,3585,2,2,3,223,Customers Needing Attention
521,177,5,4765,3,2,3,323,Potential Loyalists
522,375,5,4026,1,2,3,123,At Risk
523,830,5,4457,1,2,3,123,At Risk
524,42,7,8464,4,4,4,444,Champions
525,163,5,2968,3,2,2,322,Potential Loyalists
526,10,8,4738,4,4,3,443,Champions
527,171,6,6463,3,3,4,334,Champions
528,330,4,5544,2,2,4,224,Lost
529,244,5,1487,2,2,1,221,About to Sleep
530,51,9,6240,4,4,4,444,Champions
531,365,3,2344,2,1,2,212,Customers Needing Attention
532,865,5,2915,1,2,2,122,At Risk
533,18,8,4470,4,4,3,443,Champions
534,45,8,6286,4,4,4,444,Champions
535,169,3,871,3,1,1,311,Promising
536,596,6,5117,1,3,3,133,At Risk
537,278,2,2236,2,1,1,211,About to Sleep
538,340,7,3735,2,4,3,243,Loyal Customers
539,107,13,11712,3,4,4,344,Champions
540,299,5,2003,2,2,1,221,About to Sleep
541,115,3,1185,3,1,1,311,Promising
542,163,6,3494,3,3,2,332,Lost
543,23,4,3103,4,2,2,422,Potential Loyalists
544,296,3,426,2,1,1,211,About to Sleep
545,243,5,4279,2,2,3,223,Customers Needing Attention
546,124,5,3868,3,2,3,323,Potential Loyalists
547,65,6,4793,4,3,3,433,Champions
548,91,8,8058,3,4,4,344,Champions
549,337,4,1953,2,2,1,221,About to Sleep
550,774,3,2274,1,1,2,112,Hibernating
551,71,6,6121,4,3,4,434,Champions
552,108,1,690,3,1,1,311,Promising
553,1147,3,2011,1,1,1,111,Lost
554,120,4,2860,3,2,2,322,Potential Loyalists
555,115,10,4840,3,4,3,343,Champions
556,994,2,1364,1,1,1,111,Lost
557,37,5,2349,4,2,2,422,Potential Loyalists
558,39,3,2312,4,1,2,412,Potential Loyalists
559,268,5,4823,2,2,3,223,Customers Needing Attention
560,138,4,5405,3,2,4,324,Potential Loyalists
561,391,7,3888,1,4,3,143,At Risk
562,542,2,2372,1,1,2,112,Hibernating
563,26,7,6188,4,4,4,444,Champions
564,635,2,3090,1,1,2,112,Hibernating
565,145,7,4279,3,4,3,343,Champions
566,171,4,1561,3,2,1,321,Promising
567,87,6,6330,3,3,4,334,Champions
568,208,6,4154,2,3,3,233,Loyal Customers
569,43,4,4082,4,2,3,423,Potential Loyalists
570,300,4,1497,2,2,1,221,About to Sleep
571,542,1,614,1,1,1,111,Lost
572,129,8,4664,3,4,3,343,Champions
573,293,8,5212,2,4,4,244,Loyal Customers
574,333,5,2691,2,2,2,222,Customers Needing Attention
575,187,6,4424,3,3,3,333,Champions
576,156,3,1127,3,1,1,311,Promising
577,68,6,6710,4,3,4,434,Champions
578,309,5,5112,2,2,3,223,Customers Needing Attention
579,86,10,6983,3,4,4,344,Champions
580,511,8,4340,1,4,3,143,At Risk
581,359,4,3364,2,2,2,222,Customers Needing Attention
582,382,5,2243,1,2,1,121,Cant Lose Them
583,119,4,2245,3,2,1,321,Promising
585,320,3,1620,2,1,1,211,About to Sleep
586,334,5,3229,2,2,2,222,Customers Needing Attention
587,595,6,4542,1,3,3,133,At Risk
588,115,3,1516,3,1,1,311,Promising
589,52,7,3550,4,4,2,442,New Customers
590,429,4,4188,1,2,3,123,At Risk
591,61,3,2491,4,1,2,412,Potential Loyalists
592,721,4,3686,1,2,3,123,At Risk
593,271,4,1110,2,2,1,221,About to Sleep
594,197,10,8049,2,4,4,244,Loyal Customers
595,43,5,6371,4,2,4,424,Potential Loyalists
596,375,3,3054,1,1,2,112,Hibernating
597,122,3,1644,3,1,1,311,Promising
598,269,9,6091,2,4,4,244,Loyal Customers
599,264,5,5397,2,2,4,224,Lost
600,579,5,2946,1,2,2,122,At Risk
601,496,5,3839,1,2,3,123,At Risk
602,639,5,5374,1,2,4,124,At Risk
603,34,4,1215,4,2,1,421,New Customers
604,471,2,741,1,1,1,111,Lost
605,94,3,1004,3,1,1,311,Promising
